Numero_Apogee,Prenom,Nom,Email,Genre,Age,Region,Universite,Diplome,Specialite,Annee_Etude,Note_Bac,Moyenne_Semestre_Precedent,GPA_Cumule,Nombre_Cours_Suivis,Nombre_Absences,Taux_Presence_Cours,Nombre_Travaux_Soumis,Nombre_Participations_Cours,Nombre_Visites_Bibliotheque_Mois,Heures_Etude_Hebdo,Acces_Internet,Ordinateur_Personnel,Acces_Ressources_Numeriques,Connexion_Plateforme_ELearning_Jour,Situation_Financiere,Emploi_Etudiant,Heures_Travail_Semaine,Tutorat_Suivi,Consultation_Professeur_Mois,Participation_Groupes_Etude,Niveau_Stress,Heures_Sommeil_Nuit,Activites_Sportives,Parent_Universitaire,Fratrie_Etudiant_Universite,Note_Mathematiques,Note_Sciences,Note_Theorie,Note_Pratique_TP,Note_Projets,Score_Participation_Classe,Score_Qualite_Travaux,Score_Comprehension_Concepts,Competence_Communication,Competence_Travail_Equipe,Competence_Probleme_Resolution,Competence_Gestion_Temps,Langue_Principale,Niveau_Francais,Niveau_Anglais,Motivation_Etudes,Interet_Specialite,Niveau_Competence_Academique,Score_Competence_Numerique
3344962,Mohamed,Humeida,mohamed.humeida@uaq.ac.ma,M,26,Laayoune-Sakia-Hamra,Université Al Quaraouiyine,Licence,Droit,2,18.83,11.18,12.18,11,7,71.62,8,18,8,21.26,0,0,1,2,Moyen,0,0,0,1,1,2,4.72,0,1,0,10.26,14.63,11.42,12.89,11.0,4,1,5,3,5,3,5,Arabe,Avance,Basique,1,4,Excellent,86.25
3817751,Leila,Hessas,leila.hessas@um5.ac.ma,F,28,Fez-Meknes,Université Mohammed V,Diplome,Physique,2,11.59,13.91,11.83,7,14,58.73,7,8,29,20.26,0,1,0,1,Faible,0,0,1,3,1,2,7.87,1,0,1,18.96,7.23,15.56,9.72,13.1,2,5,5,3,5,4,5,Francais,Intermediaire,Basique,3,9,Excellent,85.97
3113038,Leila,Abboud,leila.abboud@um5.ac.ma,F,28,Fez-Meknes,Université Mohammed V,Diplome,Droit,3,15.45,12.27,12.35,9,13,68.66,3,14,0,9.33,1,0,0,5,Moyen,1,21,0,1,1,3,5.64,0,1,1,18.85,13.34,15.6,8.09,12.13,5,1,1,4,1,5,2,Arabe,Avance,Intermediaire,9,3,Excellent,79.05
3360947,Jihane,Ilyass,jihane.ilyass@uaq.ac.ma,F,21,Fez-Meknes,Université Al Quaraouiyine,Master,Informatique,2,18.54,10.38,12.31,14,7,57.69,1,2,22,9.93,0,0,0,0,Moyen,1,17,0,4,0,5,6.49,0,1,0,10.18,13.68,6.18,12.5,13.76,4,3,4,4,4,1,1,Arabe,Intermediaire,Avance,6,2,Excellent,83.24
3784823,Ibrahim,Hasani,ibrahim.hasani@uh2c.ac.ma,M,26,Casablanca-Settat,Université Hassan II,Licence,Chimie,2,15.0,9.62,9.02,11,28,88.41,1,5,12,15.02,0,1,1,3,Moyen,1,22,1,5,1,3,7.95,0,1,0,15.87,11.73,6.69,10.69,16.22,5,5,2,1,5,1,2,Arabe,Avance,Basique,4,7,Excellent,82.96
3805318,Bilal,Houbiche,bilal.houbiche@uh2c.ac.ma,M,28,Rabat-Sale-Kenitra,Université Hassan II,Master,IA,1,10.54,14.5,12.66,5,14,83.12,10,18,3,9.56,0,0,1,1,Moyen,1,13,0,1,1,5,8.56,1,0,1,16.75,13.78,10.92,13.69,10.87,1,5,2,3,3,5,2,Amazigh,Intermediaire,Basique,5,9,Excellent,81.76
3840945,Amina,Abboud,amina.abboud@um5.ac.ma,F,24,Guelmim-Oued-Noun,Université Mohammed V,Licence,Mathematiques,1,9.79,15.61,8.38,7,17,97.5,1,11,18,13.14,0,1,0,0,Moyen,1,10,1,0,1,4,6.22,0,0,1,13.17,6.38,8.03,14.32,16.4,2,2,4,1,2,3,4,Amazigh,Avance,Basique,5,3,Excellent,78.25
3393136,Aziz,Bennani,aziz.bennani@usmba.ac.ma,M,19,Rabat-Sale-Kenitra,Université Sidi Mohamed Ben Abdellah,Master,Droit,4,14.95,9.87,16.26,15,26,77.42,9,10,30,27.7,0,0,1,1,Bon,1,12,1,0,0,7,5.51,1,0,1,16.35,14.07,10.35,15.09,13.38,5,5,2,3,4,1,3,Amazigh,Intermediaire,Avance,2,5,Excellent,93.78
3526800,Maryam,Ilahi,maryam.ilahi@uca.ac.ma,F,26,Casablanca-Settat,Université Cadi Ayyad,Master,Biologie,2,15.45,9.02,9.79,15,10,92.31,8,14,14,1,0,1,0,5,Faible,0,0,1,4,1,2,7.84,0,1,0,12.59,10.91,19.76,14.47,8.57,4,4,5,2,4,4,4,Arabe,Basique,Avance,1,2,Excellent,83.91
3892937,Yasmine,Hanania,yasmine.hanania@uae.ac.ma,F,25,Laayoune-Sakia-Hamra,Université Abdelmalek Essaadi,Diplome,Droit,4,13.04,11.74,8.75,13,14,85.11,15,5,23,14.75,1,1,1,1,Bon,1,9,1,4,1,4,6.91,1,0,1,13.19,9.24,16.94,13.5,13.33,4,2,2,1,4,4,3,Amazigh,Intermediaire,Intermediaire,1,4,Excellent,81.5
